"Coffee_Shop","Ambiance","Drink_Quality","Price","Customer_Service"
"Tea Time",1,5,2,1
"Tea Time",5,4,2,3
"Tea Time",1,4,4,4
"Tea Time",1,1,4,5
"Tea Time",2,3,2,2
"Tea Time",4,3,1,1
"Tea Time",2,5,1,1
"Tea Time",2,5,2,1
"Tea Time",1,4,2,3
"Tea Time",4,5,1,2
"Tea Time",1,4,4,5
"Tea Time",5,2,3,4
"Tea Time",4,2,5,4
"Tea Time",2,1,2,5
"Tea Time",2,2,4,1
"Tea Time",3,5,2,4
"Tea Time",1,5,3,1
"Tea Time",1,4,2,1
"Tea Time",3,1,1,5
"Tea Time",4,4,4,3
"Tea Time",5,2,5,1
"Tea Time",5,2,2,2
"Tea Time",5,3,1,4
"Tea Time",4,5,1,2
"Tea Time",2,5,5,5
"Tea Time",4,3,3,5
"Tea Time",3,4,4,3
"Tea Time",2,5,2,5
"Tea Time",1,1,1,2
"Tea Time",2,4,5,1
"Tea Time",3,1,3,1
"Tea Time",2,1,2,1
"Tea Time",4,5,5,3
"Tea Time",4,3,3,4
"Tea Time",2,1,4,2
"Tea Time",5,2,2,2
"Tea Time",4,5,1,2
"Tea Time",5,1,3,2
"Tea Time",4,5,3,4
"Tea Time",2,5,4,4
"Tea Time",2,1,4,5
"Tea Time",3,2,4,1
"Tea Time",1,3,3,3
"Tea Time",5,2,1,5
"Tea Time",2,2,1,4
"Tea Time",2,1,1,2
"Tea Time",2,3,5,2
"Tea Time",4,1,4,1
"Tea Time",3,5,1,3
"Tea Time",5,1,5,4
"Tea Time",2,3,4,2
"Tea Time",2,1,1,1
"Tea Time",2,3,1,2
"Tea Time",5,5,1,3
"Tea Time",1,1,4,1
"Tea Time",1,1,2,3
"Tea Time",4,2,3,3
"Tea Time",5,2,5,4
"Tea Time",2,4,5,5
"Tea Time",1,4,4,4
"Tea Break",2,3,1,2
"Tea Break",1,3,3,4
"Tea Break",3,5,3,5
"Tea Break",1,4,2,5
"Tea Break",3,2,2,3
"Tea Break",5,2,1,2
"Tea Break",4,1,4,3
"Tea Break",5,2,5,2
"Tea Break",1,3,5,1
"Tea Break",2,1,5,5
"Tea Break",2,2,4,2
"Tea Break",4,5,3,2
"Tea Break",5,5,1,1
"Tea Break",3,2,2,4
"Tea Break",2,3,4,4
"Tea Break",1,3,2,4
"Tea Break",1,2,3,5
"Tea Break",5,2,1,2
"Tea Break",2,2,3,5
"Tea Break",3,4,2,1
"Tea Break",2,1,1,3
"Tea Break",3,2,4,5
"Tea Break",3,5,1,2
"Tea Break",4,1,5,5
"Tea Break",5,4,3,3
"Tea Break",4,3,2,4
"Tea Break",5,4,5,5
"Tea Break",4,3,1,3
"Tea Break",3,4,3,5
"Tea Break",2,1,5,5
"Tea Break",1,2,2,1
"Tea Break",3,3,2,5
"Tea Break",4,1,2,5
"Tea Break",1,2,3,2
"Tea Break",5,1,5,5
"Tea Break",4,3,1,1
"Tea Break",5,5,4,2
"Tea Break",4,2,2,3
"Tea Break",5,1,4,4
"Tea Break",4,1,3,2
"Tea Break",5,2,4,3
"Tea Break",2,1,1,3
"Tea Break",5,4,4,1
"Tea Break",2,1,3,4
"Tea Break",2,3,3,4
"Tea Break",4,1,5,3
"Tea Break",3,4,3,2
"Tea Break",1,3,2,4
"Tea Break",5,3,5,3
"Tea Break",4,5,2,5
"Tea Break",3,5,3,4
"Tea Break",1,3,5,3
"Tea Break",2,5,5,1
"Tea Break",3,2,2,3
"Tea Break",4,4,5,5
"Tea Break",2,2,3,2
"Tea Break",1,4,5,5
"Tea Break",4,1,3,5
"Tea Break",2,1,2,4
"Tea Break",1,4,3,2
"7Leaves",1,3,3,1
"7Leaves",2,2,5,2
"7Leaves",3,2,4,4
"7Leaves",3,5,2,3
"7Leaves",2,2,2,2
"7Leaves",2,4,1,1
"7Leaves",5,1,4,2
"7Leaves",4,4,3,1
"7Leaves",3,4,1,2
"7Leaves",4,3,2,4
"7Leaves",5,1,3,4
"7Leaves",2,3,1,1
"7Leaves",2,5,4,2
"7Leaves",1,3,4,5
"7Leaves",5,3,1,1
"7Leaves",3,4,1,1
"7Leaves",3,1,3,2
"7Leaves",5,2,4,4
"7Leaves",5,4,1,1
"7Leaves",2,1,4,3
"7Leaves",5,4,4,1
